,Albania,Belarus,Bosnia,Bulgaria,Croatia,Czech Republic,Czechoslovakia,East Germany,Estonia,Hungary,Kosovo,Latvia,Lithuania,Macedonia,Moldova,Montenegro,Poland,Romania,Russia,Serbia,Slovak Republic,Slovenia,Soviet Union,Ukraine,Yugoslavia
1970,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1974,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1978,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1982,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1984,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1985,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3
1990,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,36,0,5
1991,1,0,0,0,26,0,1,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,34,2,11
1992,3,0,22,0,4,0,3,0,2,1,0,2,1,0,11,0,5,1,21,0,0,0,0,1,12
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,2,1,9,1,4,1,0,0,6,2,0,2,0,1,1,0,4,0,47,0,1,1,0,10,1
1995,0,0,6,0,1,3,0,0,2,0,0,1,2,1,0,0,4,1,37,0,3,0,0,2,3
1996,6,0,33,0,3,3,0,0,1,13,0,0,3,0,2,0,6,0,66,0,5,3,0,3,16
1997,41,2,42,2,8,4,0,0,0,17,0,2,1,2,1,0,3,0,77,0,4,1,0,2,38
1998,7,0,9,0,0,0,0,0,0,2,0,4,0,5,0,0,2,0,26,0,2,0,0,0,46
1999,3,1,5,1,0,0,0,0,1,0,39,1,0,3,0,0,0,0,54,0,1,0,0,6,23
2000,2,0,6,0,2,0,0,0,0,0,60,3,0,3,1,0,0,0,138,0,1,1,0,1,14
2001,1,1,2,1,3,1,0,0,1,1,17,0,0,67,0,1,1,0,135,0,0,0,0,0,20
2002,0,0,3,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,89,0,0,0,0,3,3
2003,1,0,1,0,0,1,0,0,0,0,9,0,0,5,0,0,0,0,76,0,0,0,0,1,0
2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0,0,0
2005,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,63,0,0,0,0,0,0
2006,0,1,1,1,0,0,0,0,0,0,6,0,0,3,1,0,0,0,56,0,0,0,0,0,0
2007,0,0,2,0,0,0,0,0,0,0,5,1,0,1,0,1,0,0,51,0,0,0,0,1,0
2008,0,1,4,1,2,2,0,0,0,2,11,0,0,9,0,0,0,1,170,4,0,0,0,1,0
2009,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,152,3,0,0,0,2,0
2010,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,251,1,0,0,0,4,0
2011,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,188,0,0,0,0,3,0
2012,0,3,0,3,0,0,0,0,0,0,4,0,0,1,1,0,0,0,151,3,0,0,0,8,0
2013,1,0,1,0,2,1,0,0,0,0,6,0,0,0,0,2,0,0,144,0,0,0,0,5,0
2014,2,0,3,0,0,5,0,0,0,1,4,0,0,3,0,0,0,0,48,0,0,0,0,891,0
2015,4,0,6,0,0,4,0,0,2,1,2,0,0,4,0,1,0,0,21,0,0,0,0,637,0
