,United_States,Canada,Mexico
1970,468,2,2
1971,247,0,0
1972,64,4,1
1973,58,0,6
1974,94,1,16
1975,149,0,10
1976,105,0,20
1977,130,0,19
1978,87,0,30
1979,69,0,10
1980,67,3,5
1981,73,0,3
1982,78,5,3
1983,44,1,2
1984,63,0,4
1985,40,3,1
1986,49,2,2
1987,34,0,1
1988,27,0,3
1989,42,0,1
1990,32,0,5
1991,30,0,10
1992,32,3,6
1993,0,0,0
1994,56,4,42
1995,60,5,29
1996,35,1,75
1997,40,2,95
1998,30,4,2
1999,53,2,1
2000,32,5,4
2001,41,0,7
2002,33,0,0
2003,32,0,1
2004,9,2,1
2005,20,0,1
2006,6,2,7
2007,9,0,10
2008,18,5,8
2009,10,4,1
2010,17,2,5
2011,10,0,2
2012,17,2,16
2013,19,4,8
2014,26,3,5
2015,38,5,19
